Date,Policy #,Queue
"Friday, September 9, 2016",AT10262280,Docattach
"Friday, September 9, 2016",AT10253150,Docattach
"Friday, September 9, 2016",AT10264660,Docattach
"Friday, September 9, 2016",AT10251670,Docattach
"Friday, September 9, 2016",AT10246890,Docattach
"Saturday, September 10, 2016",AT10254870,Docattach
"Saturday, September 10, 2016",AT70004190,Docattach
"Saturday, September 10, 2016",AT10244060,Docattach
"Saturday, September 10, 2016",AT10238730,Docattach
"Saturday, September 10, 2016",AT10261100,Docattach
"Monday, September 12, 2016",AT10235770,Docattach
"Monday, September 12, 2016",AT10249120,Docattach
"Monday, September 12, 2016",AT10267350,Docattach
"Monday, September 12, 2016",AT10238280,Docattach
"Tuesday, September 13, 2016",AT10270820,Docattach
"Tuesday, September 13, 2016",AT10275480,Docattach
"Tuesday, September 13, 2016",AT10266210,Docattach
"Tuesday, September 13, 2016",AT10264750,Docattach
"Tuesday, September 13, 2016",AT10259630,Docattach
"Wednesday, September 14, 2016",AT10233410,Docattach
"Wednesday, September 14, 2016",AT10241020,Docattach
"Wednesday, September 14, 2016",AT10249960,Docattach
"Thursday, September 15, 2016",AT10241020,Docattach
"Thursday, September 15, 2016",AT10233410,Docattach
"Thursday, September 15, 2016",AT10255670,Docattach
"Thursday, September 15, 2016",AT10241930,Docattach
"Thursday, September 15, 2016",AT10230700,Docattach
"Thursday, September 15, 2016",AT10258820,Docattach
"Thursday, September 15, 2016",AT70004250,Docattach
"Thursday, September 15, 2016",AT10234800,Docattach
"Thursday, September 15, 2016",AT10262910,Docattach
"Friday, September 16, 2016",AT10261900,Docattach
"Friday, September 16, 2016",AT10261890,Docattach
"Friday, September 16, 2016",AT10276760,Docattach
"Friday, September 16, 2016",AT10269620,Docattach
"Friday, September 16, 2016",AT10263670,Docattach
"Friday, September 16, 2016",AT10237180,Docattach
"Friday, September 16, 2016",AT10225490,Docattach
"Friday, September 16, 2016",AT10254130,Docattach
"Friday, September 16, 2016",AT10256870,Docattach
"Monday, September 19, 2016",AT10249960,Docattach
"Monday, September 19, 2016",AT10256060,Docattach
"Monday, September 19, 2016",AU10001990,Docattach
"Tuesday, September 27, 2016",AT10253690,Docattach
