DATE,POLICY,DETAILS
"Monday, June 2, 2014",VF52712220,Decline
"Monday, June 2, 2014",VF52646670,Decline
"Monday, June 2, 2014",VF52715850,Decline
"Monday, June 2, 2014",VF52694650,Decline
"Monday, June 2, 2014",VF52704180,Decline
"Monday, June 2, 2014",VF52716550,Decline
"Monday, June 2, 2014",VF52715390,Decline
"Monday, June 2, 2014",VF52706930,Decline
"Monday, June 2, 2014",VF52716890,Decline
"Monday, June 2, 2014",VF52717700,Decline
"Monday, June 2, 2014",VF52714030,Return TIA
"Monday, June 2, 2014",VF52713670,Decline
"Monday, June 2, 2014",VF52722290,Decline
"Tuesday, June 3, 2014",VF52705510,Decline
"Tuesday, June 3, 2014",VF52714440,Decline
"Tuesday, June 3, 2014",VF52711790,Decline
"Tuesday, June 3, 2014",VF52712260,Decline
"Tuesday, June 3, 2014",VF52711250,Decline
"Friday, June 6, 2014",VF52688930,Return TIA
"Friday, June 6, 2014",VF52723990,Return TIA
"Friday, June 6, 2014",VF52719760,Return TIA
"Friday, June 6, 2014",VF52715990,Return TIA
"Friday, June 6, 2014",VF52715180,Return TIA
"Friday, June 6, 2014",VF52691390,Return TIA
"Friday, June 6, 2014",VF52691240,Return TIA
"Friday, June 6, 2014",VF52714340,Return TIA
"Monday, June 9, 2014",VF52371100,Decline
"Monday, June 9, 2014",VF52714970,Decline
"Monday, June 9, 2014",VF52704220,Decline
"Monday, June 9, 2014",VF52726540,Decline
"Monday, June 9, 2014",VF52711530,Decline
"Monday, June 9, 2014",VF52718410,Decline
"Monday, June 9, 2014",VF52720100,Decline
"Tuesday, June 10, 2014",VF52694270,Return TIA
"Tuesday, June 10, 2014",VF52723850,Return TIA
"Wednesday, June 11, 2014",VF52730970,Decline
"Tuesday, June 17, 2014",VF52727370,Return TIA
"Tuesday, June 17, 2014",VF52717710,Return TIA
"Tuesday, June 17, 2014",VF52725290,Return TIA
"Tuesday, June 17, 2014",VF52700370,Return TIA
"Thursday, June 19, 2014",VF52711650,Decline
"Thursday, June 19, 2014",VF52704600,Decline
"Thursday, June 19, 2014",VF52710690,Decline
"Thursday, June 19, 2014",VF52723140,Decline
"Monday, June 23, 2014",VF52688480,Return TIA
"Monday, June 23, 2014",VF52724920,Return TIA
"Monday, June 23, 2014",VP66141890,Return TIA
"Tuesday, June 24, 2014",VF52702280,Return TIA
"Tuesday, June 24, 2014",VF52700460,Return TIA
"Wednesday, June 25, 2014",VF52701880,Return TIA
"Wednesday, June 25, 2014",VF52704120,Return TIA
"Friday, June 27, 2014",VF52720170,Decline
"Friday, June 27, 2014",VF52727620,Return TIA
"Friday, June 27, 2014",VF52707970,Return TIA
"Friday, June 27, 2014",VF52698050,Return TIA
"Monday, June 30, 2014",VF52702840,Decline
"Monday, June 30, 2014",VF52715500,Decline
"Monday, June 30, 2014",VF52737110,Decline
"Monday, June 30, 2014",VF52708160,Decline
"Monday, June 30, 2014",VF52723940,Decline
"Monday, June 30, 2014",VF52731890,Decline
"Monday, June 30, 2014",VP66147200,Decline
